ID,Title,Authors,Journal,Year,Citations_RSCI,Industry,Source
1,WIDELY TARGETED METABOLOMICS REVEALS METABOLIC PATTERNS DURING TETRASPORE FORMATION IN THE EDIBLE SEAWEED GRACILARIOPSIS LEMANEIFORMIS,"Sun D., Zhou X., Chen D., Liu F., Zhang Bo., Sun X., Xu N.",Food Bioscience,2025,0,Биоинформатика,eLibrary
2,THE EMERGENCE OF MEANING FROM MEANINGFUL MOMENTS IN LIFE,"van de Goor Ja., Sools A.M., Westerhof G.J.",Journal of Humanistic Psychology,2025,3,Биоинформатика,eLibrary
3,THE CHARACTERISTICS OF FALLS IN AN INSTITUTIONALIZED ELDERLY COHORT IN CHINA – A RETROSPECTIVE OBSERVATIONAL STUDY,"Wang F., Han Y., Huang X., Man Li., Wang R., Huang Yu., Rong G., Xu Yu.",Geriatric Nursing,2025,0,Биоинформатика,eLibrary
4,TOURIST TALES UNCOVERED: NAVIGATING SATISFACTION THROUGH PSYCHOGRAPHICS AND DESTINATION IMPRESSIONS – A SYSTEMATIC LITERATURE REVIEW,"Chavan P., Vhatkar A., Shoukat M.H., Mehta M., Ahmad M.Sh.",Asia Pacific Journal of Tourism Research,2025,0,Экономика,eLibrary
5,EVALUACIÓN DE LOS FACTORES PREDICTIVOS TRAS URETROTOMÍA INTERNA ENDOSCÓPICA PARA ESTENOSIS DE URETRA BULBAR,"García Fernández A., Campos-Juanatey F., Calleja Hermosa P., González Fernández A., Varea Malo R., Gutiérrez Baños J.L.",Actas Urologicas Espanolas,2025,0,Биоинформатика,eLibrary
6,THE SOCIO-CULTURAL IMPACT OF RURAL TOURISM IN INDIA: A REGIONAL ANALYSIS WITH SPECIAL REFERENCE TO KERALA IN THE CONTEXT OF THE SUSTAINABLE DEVELOPMENT GOALS (SDGS),"Cherian A.M., Natarajamurthy P.",Journal of Lifestyle and SDGs Review,2025,0,Экономика,eLibrary
7,SWEDISH TRANSLATION OF THE ISUPPORT RIGHTS-BASED STANDARDS TO SUPPORT PAEDIATRIC PATIENTS HAVING A CLINICAL PROCEDURE,"Rullander A.C., Bray L., Darcy L., Edwinson Månsson M., Karlsson K., Nilsson S., Forsner M.",Acta Paediatrica,2025,0,Биоинформатика,eLibrary
8,"INFLUENZA VACCINATION, HOUSEHOLD COMPOSITION, AND RACE-BASED DIFFERENCES IN INFLUENZA INCIDENCE: AN AGENT-BASED MODELING STUDY","Williams K.V., Krauland M.G., Harrison L.H., Williams J.V., Roberts M.S., Zimmerman R.K.",American Journal of Public Health,2025,0,Биоинформатика,eLibrary
9,UNMET NEEDS OF CHILDREN AND YOUNG ADULTS WITH ADHD: INSIGHTS FROM KEY STAKEHOLDERS ON PRIORITIES FOR STIGMA REDUCTION,"Visser M.J., Peters R.M.H., Luman M.",Journal of Attention Disorders,2025,1,Биоинформатика,eLibrary
10,IMPACT OF FRENCH LOCKDOWNS ON BEREAVEMENT EXPERIENCES: INSIGHT FROM ALCESTE ANALYSIS REVEALING PSYCHOLOGICAL RESILIENCE AND DISTINCT GRIEF DYNAMICS AMIDST COVID-19,"Sani L., Chemrouk Ya., Lassagne B., Cape Ch., Ngo Nkana M., Cherblanc Ja., Bacqué M.F.",International Journal of Psychology,2025,0,Биоинформатика,eLibrary
