ID,Title,Authors,Year,Primary_Subject,Industry,Source
2510.07297,Agentic generative AI for media content discovery at the national football league,"Henry Wang, Sirajus Salekin, Jake Lee, Ross Claytor, Shinan Zhang, Michael Chi",2025,cs.AI,Информатика,arXiv
2510.07292,A Genetic Algorithm Approach to Anti-Jamming UAV Swarm Behavior,"Tiago Silva, António Grilo",2025,cs.NI,Информатика,arXiv
2510.07231,Benchmarking LLM Causal Reasoning with Scientifically Validated Relationships,"Donggyu Lee, Sungwon Park, Yerin Hwang, Hyunwoo Oh, Hyoshin Kim, Jungwon Kim, Meeyoung Cha, Sangyoon Park, Jihee Kim",2025,cs.CL,Информатика,arXiv
2510.07109,GNN-enhanced Traffic Anomaly Detection for Next-Generation SDN-Enabled Consumer Electronics,"Guan-Yan Yang, Farn Wang, Kuo-Hui Yeh",2025,cs.CR,Информатика,arXiv
2510.07101,Data as Commodity: a Game-Theoretic Principle for Information Pricing,"Pasquale Casaburi, Giovanni Piccioli, Pierpaolo Vivo",2025,cond-mat.stat-mech,Экономика,arXiv
2510.07099,Diffusion-Augmented Reinforcement Learning for Robust Portfolio Optimization under Stress Scenarios,"Himanshu Choudhary, Arishi Orra, Manoj Thakur",2025,stat.ML,Информатика,arXiv
2510.07073,VRPAgent: LLM-Driven Discovery of Heuristic Operators for Vehicle Routing Problems,"André Hottung, Federico Berto, Chuanbo Hua, Nayeli Gast Zepeda, Daniel Wetzel, Michael Römer, Haoran Ye, Davide Zago, Michael Poli, Stefano Massaroli, Jinkyoo Park, Kevin Tierney",2025,cs.AI,Информатика,arXiv
2510.07071,Blind Construction of Angular Power Maps in Massive MIMO Networks,"Zheng Xing, Junting Chen",2025,cs.LG,Информатика,arXiv
2510.07047,doi 10.29119/1641-3466.2025.228.10 Analysis of managerial behaviors in business management,"Ernest Górka, Dariusz Baran, Michał Ćwiąkała, Gabriela Wojak, Robert Marszczuk, Katarzyna Olszyńska, Piotr Mrzygłód, Maciej Frasunkiewicz, Piotr Ręczajski, Kamil Saługa, Maciej Ślusarczyk, Jan Piwnik",2025,econ.GN,Экономика,arXiv
2510.07039,Exchange for Growth: Currency Dynamics in Emerging Markets,"Shaunak Kulkarni, Rohan Ajay Dubey",2025,econ.GN,Экономика,arXiv
2510.07016,doi 10.29119/1641-3466.2025.228.1 The role of communication in effective business management,"Dariusz Baran, Ernest Górka, Michał Ćwiąkała, Gabriela Wojak, Mateusz Grzelak, Katarzyna Olszyńska, Piotr Mrzygłód, Maciej Frasunkiewicz, Piotr Ręczajski, Maciej Ślusarczyk, Jan Piwnik",2025,econ.GN,Экономика,arXiv
2510.07015,Lossless Compression of Time Series Data: A Comparative Study,"Jonas G. Matt, Pengcheng Huang, Balz Maag",2025,cs.IT,Информатика,arXiv
2510.06980,Relational Database Distillation: From Structured Tables to Condensed Graph Data,"Xinyi Gao, Jingxi Zhang, Lijian Chen, Tong Chen, Lizhen Cui, Hongzhi Yin",2025,cs.DB,Информатика,arXiv
2510.06936,Sensing Management for Pilot-Free Predictive Beamforming in Cell-Free Massive MIMO Systems,"Eren Berk Kama, Murat Babek Salman, Isaac Skog, Emil Björnson",2025,eess.SP,Информатика,arXiv
2510.06903,When Machines Meet Each Other: Network Effects and the Strategic Role of History in Multi-Agent AI,"Yu Liu, Wenwen Li, Yifan Dou, Guangnan Ye",2025,econ.GN,Экономика,arXiv
