Metric,Industry,Source_Paper_Title,Frequency
Tobin's Q,Экономика,Structural Models and Endogeneity in Corporate Finance: The Link Between Managerial Ownership and Corporate Performance,1
Book value of total assets,Экономика,Structural Models and Endogeneity in Corporate Finance: The Link Between Managerial Ownership and Corporate Performance,1
Sales,Экономика,Structural Models and Endogeneity in Corporate Finance: The Link Between Managerial Ownership and Corporate Performance,1
Research and development expenditures,Экономика,Structural Models and Endogeneity in Corporate Finance: The Link Between Managerial Ownership and Corporate Performance,1
Advertising expenses,Экономика,Structural Models and Endogeneity in Corporate Finance: The Link Between Managerial Ownership and Corporate Performance,1
Book leverage,Экономика,Structural Models and Endogeneity in Corporate Finance: The Link Between Managerial Ownership and Corporate Performance,1
Effective ownership share of the CEO,Экономика,Structural Models and Endogeneity in Corporate Finance: The Link Between Managerial Ownership and Corporate Performance,1
Correlation coefficients,Экономика,Structural Models and Endogeneity in Corporate Finance: The Link Between Managerial Ownership and Corporate Performance,1
Regression coefficients and t-statistics,Экономика,Structural Models and Endogeneity in Corporate Finance: The Link Between Managerial Ownership and Corporate Performance,1
Data Envelopment Analysis,Экономика,Linear Programming Models for Firm and Industry Performance,1
Industry Production Function Models,Экономика,Linear Programming Models for Firm and Industry Performance,1
Nonparametric Tests of Regularity Conditions in Production,Экономика,Linear Programming Models for Firm and Industry Performance,1
Regression models,Экономика,ECONOMETRIC MODELLING IN ASSESSING THE EFFICIENCY OF THE FIRM,1
F Fisher test,Экономика,ECONOMETRIC MODELLING IN ASSESSING THE EFFICIENCY OF THE FIRM,1
Students t test,Экономика,ECONOMETRIC MODELLING IN ASSESSING THE EFFICIENCY OF THE FIRM,1
Productivity,Экономика,ECONOMETRIC MODELLING IN ASSESSING THE EFFICIENCY OF THE FIRM,1
Flexibility,Экономика,ECONOMETRIC MODELLING IN ASSESSING THE EFFICIENCY OF THE FIRM,1
Profitability performance,Экономика,Determinants of Firm Performance: A Subjective Model,1
Growth performance,Экономика,Determinants of Firm Performance: A Subjective Model,1
Market value performance of the firm,Экономика,Determinants of Firm Performance: A Subjective Model,1
Customer satisfaction,Экономика,Determinants of Firm Performance: A Subjective Model,1
Employee satisfaction,Экономика,Determinants of Firm Performance: A Subjective Model,1
Environmental audit performance,Экономика,Determinants of Firm Performance: A Subjective Model,1
Corporate governance performance,Экономика,Determinants of Firm Performance: A Subjective Model,1
Social performance,Экономика,Determinants of Firm Performance: A Subjective Model,1
Profitability,Экономика,Toward a subjective measurement model for firm performance,1
Growth,Экономика,Toward a subjective measurement model for firm performance,1
Customer satisfaction,Экономика,Toward a subjective measurement model for firm performance,1
Employee satisfaction,Экономика,Toward a subjective measurement model for firm performance,1
Social performance,Экономика,Toward a subjective measurement model for firm performance,1
Environmental performance,Экономика,Toward a subjective measurement model for firm performance,1
Second-order financial performance construct,Экономика,Toward a subjective measurement model for firm performance,1
Elasticity of R&D,Экономика,R&D Productivity: A Survey of Econometric Studies at the Firm Level,1
